keyword,location,title,address,phone,website,rating,reviews,place_id,data_id,needs_scraping,email,facebook,instagram,linkedin,youtube,twitter,tiktok,scrape_status
property developers,11568,American Development Group LLC,"West Hempstead, NY",(516) 565-5600,,4.5,2,13199670096948426908,,YES,,,,,,,,no_website
general contractors,07078,Barqueros Construction LLC,"Summit, NJ",(908) 656-1508,,5.0,3,10346083189032479598,,YES,,,,,,,,no_website
general contractors,19035,"AP Zajko Construction, LLC","Philadelphia, PA",(215) 873-3339,,5.0,47,10228970549591699966,,YES,,,,,,,,no_website
remodeling contractors,11568,FJF Remodelers Inc.,"Merrick, NY",(516) 379-4043,,5.0,27,5342412910771947066,,YES,,,,,,,,no_website
home builders,19085,Gladwyne Builders,,(610) 506-0100,,3.7,3,11008100777495329800,,YES,,,,,,,,no_website
property developers,11568,ROYAL MANSIONS DEVELOPMENTS,"Old Westbury, NY",(516) 770-1180,,,,1862921275427477683,,YES,,,,,,,,no_website
general contractors,19035,Anthony General Contractor LLC,,(484) 908-4269,,5.0,8,8730848714537927687,,YES,,,,,,,,no_website
property developers,11568,Purple Group Properties,"Westbury, NY",(516) 939-4440,,,,6441889536981594111,,YES,,,,,,,,no_website
home builders,11568,"Black Dog Home Builders, LLC","Merrick, NY",(516) 200-4760,,5.0,5,5105155410378266395,,YES,,,,,,,,no_website
property developers,07723,Slm Builders Llc,"Deal, NJ",(732) 660-5250,,4.3,7,2045044892232190895,,YES,,,,,,,,no_website
general contractors,08247,Agate Construction Co Inc,"North Wildwood, NJ",(609) 352-5359,,,,6126606288948511654,,YES,,,,,,,,no_website
property developers,07723,Amalfi Builders & Construction,"Deal, NJ",(732) 399-9299,,,,84929038630158127,,YES,,,,,,,,no_website
kitchen contractors,07711,Pacz Home Improvement LLC,,(732) 456-4090,,5.0,9,2049659739784646925,,YES,,,,,,,,no_website
general contractors,07711,Tomaino Contracting,"Allenhurst, NJ",(732) 517-1586,,5.0,2,5257597736698868261,,YES,,,,,,,,no_website
property developers,07723,A S Builders,"Deal, NJ",(732) 531-3100,,5.0,1,7570831692726685536,,YES,,,,,,,,no_website
remodeling contractors,08247,"BuildMark, Inc.","Berkeley, CA",(510) 484-5765,https://www.buildmarkinc.com/,5.0,47,,,NO,,https://www.facebook.com/pg/buildmarkinc/posts/,https://www.instagram.com/buildmarkinc/,,,,,success
home builders,08202,Augustine Builders,"Avalon, NJ",(609) 926-6242,https://www.augustinebuilders.net/,4.2,11,13653499015198321864,,NO,daveaug@comcast.net,,,,,,,success
general contractors,07711,AC Beyda Construction,"Oakhurst, NJ",(732) 358-0144,https://www.acbeyda.com/,5.0,1,13112095778984821226,,NO,"albert@acbeyda.com, courtsalbert@acbeyda.com",https://www.facebook.com/albert.beyda.5,https://www.instagram.com/acbeyda,,,,,success
property developers,19035,iBuy Philadelphia Homes,"Philadelphia, PA",(215) 445-3400,https://www.ibuyphiladelphiahomes.com/,5.0,5,4269784247635986040,,NO,sell@ibuyphiladelphiahomes.com,https://www.facebook.com/ibuyphiladelphiahomes,https://www.instagram.com/ibuyphiladelphiahomes,https://www.linkedin.com/company/ibuyphiladelphiahomes,https://www.youtube.com/@ibuyphiladelphiahomes,,https://www.tiktok.com/@ibuyphiladelphiahomes,success
home builders,07723,Distinctive Builders Of NJ LLC,,(732) 522-1538,https://distinctivebuildersnj.com/,5.0,14,1643235969762401988,,NO,"DistinctiveBuildersNJ@gmail.com, Distinctivebuildersnj@gmail.comPhone, STARTEDDistinctiveBuildersNJ@gmail.com",,https://www.instagram.com/distinctivebuildersnj/?hl=en,,,,,success
property developers,07723,Northeast Construction & Development,"Point Pleasant Beach, NJ",(732) 905-7777,http://northeastcd.com/,3.7,3,11019401975065906993,,NO,,,,,,,,success
home builders,11568,M&M Custom Homes,"East Norwich, NY",(516) 584-5110,http://mandmcustomhomes.com/,3.0,2,18168708975601798299,,NO,,https://www.facebook.com/mandmcustomhomes,https://www.instagram.com/mmcustomhomes,https://www.linkedin.com/company/mmcustom-homes/,,https://www.twitter.com/mmcustomhome,,success
home builders,11568,STOKKERS & COMPANY,"Huntington, NY",(631) 385-1390,http://stokkersco.com/,5.0,2,17165681070108308676,,NO,info@stokkersco.com,https://www.facebook.com/Stokkersandcompany,http://instagram.com/stokkersco,,,,,success
remodeling contractors,07620,RL Remodeling,"San Diego, CA",(888) 324-1144,https://www.rl-remodeling.com/,5.0,25,799853431818802752,,NO,324-1144info@rl-remodeling.comRL,https://www.facebook.com/rlremodelinginc/reviews/?ref=page_internal,,https://www.linkedin.com/in/dana-laksman-07724724b,,,,success
architects,19035,Designblendz,"Philadelphia, PA",(215) 995-0228,https://www.designblendz.com/,4.5,25,1915203631348065764,,NO,info@designblendz.com,https://www.facebook.com/designblendz/,https://www.instagram.com/designblendz/,https://www.linkedin.com/company/designblendz/,https://www.youtube.com/user/Designblendz,,,success
home builders,08202,MCM Builders (now Coastal Modern Construction),"Avalon, NJ",(609) 305-3200,http://www.coastalmodernconstruction.com/,5.0,1,15889178860063212735,,NO,08202coastalmodernconstruction@gmail.com,https://www.facebook.com/heronbuilders,https://www.instagram.com/coastalmodernconstruction/,,,,,success
architects,11568,Carol Maryan Architects,"Glen Head, NY",(212) 787-7800,http://www.carolmaryanarchitects.com/,5.0,2,6034355910976541910,,NO,info@carolmaryanarchitects.com,,,,,,,success
home builders,07723,Delmer Home Improvements & Services,"Howell Township, NJ",(732) 905-2064,https://delmerhomeimprovements.com/,5.0,47,2818083666015775496,,NO,"Delmerhomeimprovements@gmail.com, delmerhomeimprovements@gmail.com",https://www.facebook.com/people/Delmer-Home-Improvements-Services-LLC/61576012172238/?rdid=cJ0Ew84As4ziJcxW&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F19FV1dvCHe%2F,https://www.instagram.com/delmer_home_improvements/,,,,,success
remodeling contractors,08247,Hometelligent Inc,"Albany, CA",(925) 856-5957,https://hometelligentinc.com/,5.0,41,,,NO,"Textinfo@hometelligentinc.com, info@hometelligentinc.com",https://www.facebook.com/Hometelligent/photos/hometelligent-inc-a-name-and-service-you-can-trust-for-all-your-design-and-build/1114583074009153/?_rdr,https://www.instagram.com/hometelligent/,https://www.linkedin.com/company/hometelligent-inc,,,,success
kitchen contractors,11976,Richard Raffel Custom Kitchens,"Southampton, NY",(631) 283-4433,http://www.rraffel.com/,4.9,11,5870423241456689705,,NO,"info@rraffel.com, maddison@rraffel.com, rich@rraffel.com",,,,,,,success
kitchen contractors,11976,Bakes & Kropp Fine Cabinetry,"Sag Harbor, NY",(888) 206-0015,https://www.bakesandkropp.com/,4.8,23,13494159057365374522,,NO,info@bakesandkropp.com,https://www.facebook.com/bakesandkropp/,https://www.instagram.com/bakesandkropp/,https://www.linkedin.com/company/bakesandkropp,,,,success
remodeling contractors,07620,Thompson Remodeling,"Hamilton Township, NJ",(973) 214-4341,http://www.thompsonremodelingnj.com/,5.0,2,12244594856354527177,,NO,"08650steve@thompsonremodelingnj.com, 1-973-214-4341steve@thompsonremodelingnj.comExceptional, 1-973-214-4341steve@thompsonremodelingnj.comLet",https://www.facebook.com/ThompsonRemodelingNJ,https://www.instagram.com/thompsoncontracting/,,,,,success
interior designers,11962,DLT INTERIORS,,(914) 582-9170,https://dltinteriordesigns.com/,5.0,10,8323782910036579298,,NO,,https://www.facebook.com/people/DLT-Interiors/61554499926708/,https://www.instagram.com/dltinteriors/,,,,,success
property developers,19035,BC Property Development LLC,,(610) 299-4851,https://bcprodev.com/,5.0,6,7359507321496607456,,NO,,,,,,,,success
interior designers,11962,Hamptons Interior Designer - Dune and Sage,,(516) 417-7792,http://www.duneandsage.com/,5.0,3,3369117249559782044,,NO,info@duneandsage.comFOLLOW,,,,,,,success
home builders,11568,BLI Facilities,,(516) 828-1558,https://buildingli.com/,5.0,24,1708887614402374666,,NO,,https://www.facebook.com/BuildingLI/,https://www.instagram.com/blifacilities,,,,,success
home builders,08202,JCM Development,"Avalon, NJ",(609) 846-6949,https://jcmdevelopmentllc.com/,5.0,10,15288699767190022104,,NO,"08230609-846-6949jcm.development1@gmail.comsend, ShoreConnectjcm.development1@gmail.com",https://www.facebook.com/jcmdevelopmentllc,,,,,,success
property developers,07723,LIVAI,,(732) 496-8106,https://livaibuilders.com/,,,16378576094564459435,,NO,"livaibuilders@gmail.com, livaibuilders@gmail.comHome",,https://www.instagram.com/livaibuilders,,,,,success
architects,08247,Bennett Architecture Studio,"Avalon, NJ",,http://dcbarchitects.com/,,,1611319663208616597,,NO,,https://www.facebook.com/BennettArchitectureStudio,https://www.instagram.com/bennett_architecture_studio/,https://www.linkedin.com/company/david-c-bennett-architects-llc,,,,success
kitchen contractors,11976,"Kitchen Designs by Ken Kelly, Inc.","Williston Park, NY",(516) 746-3435,https://www.kitchendesigns.com/,4.9,25,3240674993244870874,,NO,info@kitchendesigns.com,https://www.facebook.com/kitchendesignsbykenkelly,https://www.instagram.com/kenkellykitchens/,http://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.kitchendesigns.com&title=Kitchen%20Designs%20by%20Ken%20Kelly%20Long%20Island%20Kitchen%20and%20Bath%20Showroom%20-%20New%20York%20Designers,https://www.youtube.com/user/kitchendesignsdotcom,https://twitter.com/kitchendsns_com,,success
general contractors,07711,J.A.Y. Construction,"Toms River, NJ",(732) 736-0660,http://www.jayconstruction.com/,4.8,95,8057324289759376517,,NO,,https://www.facebook.com/JAYConstructionllc,https://www.instagram.com/jayconstructionllctomsriver/,,https://www.youtube.com/@j.a.y.constructionllc,,,success
remodeling contractors,07620,Alfieri Renovations,"Hamburg, NJ",(973) 862-1640,https://alfierirenovations.com/,4.9,42,9459548418541287909,,NO,alfierirenovations@gmail.com,https://www.facebook.com/Alfieri-Renovations-Remodeling-and-Design-107120741854490,,,,,,success
home builders,07723,Bravo Builders,"Point Pleasant, NJ",(732) 475-6127,http://www.bravobuilders.com/,4.2,30,18282453087362164427,,NO,,https://www.facebook.com/Bravo-Builders-Corp-281712155315682,,https://www.linkedin.com/in/gabe-bravo-84471664/,,https://twitter.com/bravobuilder,,success
remodeling contractors,08247,"Ideal Remodeling, LLC",6 King St,(856) 939-1069,https://idealremodelingonline.com/,4.8,74,,,NO,,https://www.facebook.com/IdealRemodeling,https://www.instagram.com/idealremodelingnj,https://www.linkedin.com/in/idealremodeling,https://www.youtube.com/channel/UCG3_vWx5tCZOuIhNqWmk8hw,,,success
home builders,07723,Russo Homes,"Swedesboro, NJ",(856) 467-7006,https://www.russocorporation.com/russo-homes/,5.0,9,17493555601719537282,,NO,,https://www.facebook.com/RussoCorporation/,https://www.instagram.com/russo_homes/,,,,,success
property developers,19035,Arcadia Land Co,"Philadelphia, PA",(215) 845-9900,http://arcadialand.com/,,,15519767393081854547,,NO,info@arcadialand.com,,,,,,,success
interior designers,11962,Melissa Sacco Interiors Inc,"Bellmore, NY",(516) 765-3023,http://www.melissasaccointeriors.com/,5.0,27,14941706685992876980,,NO,,https://www.facebook.com/melissasaccointeriorsINC/,https://www.instagram.com/melissasaccointeriors/,,https://youtube.com/shorts/RiCQfxZXLKo?si=QxTeldHhLXllCG2G,,,success
home builders,11568,Hope Custom Builders,,(516) 816-1464,https://hopecustombuilders.com/,4.4,7,12091397908530274626,,NO,Dominick@HopeCB.com,https://facebook.com/HopeCBconstruction,http://instagram.com/hope_custom/,,,,https://www.tiktok.com/@hope_custom_builders?_t=ZT-8tccooY8xsB&_r=1,success
general contractors,07711,SB General Construction LLC,"Rochelle Park, NJ",(862) 237-4376,http://sbgeneralcontracting.com/,4.8,77,7527482725216178078,,NO,info@sbgeneralcontracting.comFirst,,,,,,,success
general contractors,07711,JC General Construction LLC,"Roseland, NJ",(888) 460-4029,https://www.myjccontractor.com/,5.0,8,16501630026504629372,,NO,"07050Emailinfo@myjccontractor.comCall, 4029info@myjccontractor.com, Addressinfo@myjccontractor.comOffice, Usinfo@myjccontractor.comOffice",https://www.facebook.com/MYJCROOFINGSOLUTIONS,https://www.instagram.com/jcroofingsolution,,,,,success
architects,11568,PKAD Architecture and Design,"Hicksville, NY",(516) 828-8040,https://www.pkad.net/,5.0,34,3786027758223184205,,NO,"Emailfrank@pkad.net, frank@pkad.netLocation",https://www.facebook.com/pkaddesigns,https://www.instagram.com/pkaddesigns/reels/,,https://www.youtube.com/@orderplans,,,success
remodeling contractors,07620,Remodeling Network LLC,"Little Egg Harbor Township, NJ",(866) 934-3577,http://www.remodelingnetworkllc.com/,4.6,99,883390021111710889,,NO,remodelingnetworkllc@gmail.comShare,,,,,,,success
property developers,07078,Exodus Real Estate,"Short Hills, NJ",(732) 737-9013,http://www.exodus-re.com/,5.0,23,13031700276142498180,,NO,,https://www.facebook.com/exodusrealestates,https://instagram.com/wix/,,https://www.youtube.com/channel/UC_fu88WAVIANhc5nsmw8KfQ,,,success
property developers,07723,Eastern Pacific Development,"Vineland, NJ",(856) 696-0200,http://www.epacdevco.com/,4.0,1,4109232168742204490,,NO,info@epacdevco.com,,,,,,,success
home builders,11568,Creatively Done Homes Improvements Inc,"Hicksville, NY",(516) 470-1961,https://creativelydoneremodeling.com/,5.0,41,5796488772873949076,,NO,cost.Phone516-470-1961Emailkevin@creativelydoneremodeling.comAddress,https://www.facebook.com/creativelydonehomes1/,https://www.instagram.com/creativelydone1/,,https://www.youtube.com/@CreativelyDoneHomes,,,success
home builders,08202,Seashore Home Builders,"Stone Harbor, NJ",(609) 886-4218,https://www.seashorehomebuilders.com/,3.7,3,4386225402724211660,,NO,seashorehomebuildersoffice@gmail.comAddress,https://www.facebook.com/Seashore-Home-Builders-Inc-228405507503868,https://www.instagram.com/seashorehomebuilders_nj/,,,https://twitter.com/SeashoreHomeB,,success
architects,11976,Nautilus Architects,"Southampton, NY",(631) 953-7602,https://www.nautilusarchitects.com/,5.0,2,2286502442082792560,,NO,,https://www.facebook.com/NautilusArchitects,https://www.instagram.com/nautilusarchitects2023/,,https://www.youtube.com/channel/UCH6PHleU1ylPLeDKyz92k1A,,,success
home builders,07723,AT Home Developers,,(201) 747-7006,https://www.athomedevelopers.com/,5.0,1,17415882366367177420,,NO,us.Contacts201.747.7006Agnes@athomedevelopers.comOffice,https://www.facebook.com/ATHomeDevs,https://www.instagram.com/athomedevelopers/,,,,,success
architects,19085,Heckendorn Shiles Architects,"Wayne, PA",(610) 994-3500,http://www.hsarch.com/,5.0,8,,,NO,"994-3500info@hsarch.com, info@hsarch.com",http://www.facebook.com/heckendornshilesarchitects,http://instagram.com/hsarchitects,https://www.linkedin.com/company/heckendorn-shiles-architects/,,,,success
interior designers,11962,KOSA,"Bridgehampton, NY",(631) 267-3038,http://www.kosullivan.com/,5.0,3,10023584704817335197,,NO,,https://www.facebook.com/kosullivan.design,http://www.instagram.com/kosa_design,,,,,success
kitchen contractors,11976,NDA Kitchens,"Nesconset, NY",(631) 360-8949,https://www.ndakitchens.com/,4.9,61,1939327389295810302,,NO,,https://www.facebook.com/NDAkitchensandconstruction/,https://www.instagram.com/ndakitchens/,,,,,success
property developers,07078,Houses 4 Cash,"Union, NJ",(973) 558-8287,https://www.houses4cash.com/,5.0,3,14164035692488565902,,NO,,,,,,,,success
kitchen contractors,11976,"Westchester Kitchen & Bath Remodeling, LLC.","Yorktown Heights, NY",(914) 255-5554,https://westchesterkitchenremodeling.com/,5.0,12,17211998718630915548,,NO,info@westchesterkitchenremodeling.com,,,,,,,success
remodeling contractors,07620,Bellari Home Remodeling,"Branchburg, NJ",(908) 725-8401,https://www.bellarinj.com/,4.7,141,8600440508853831723,,NO,,https://www.facebook.com/BellariNJ/,https://www.instagram.com/bellarinj/,https://www.linkedin.com/company/bellarinj/,,,,success
property developers,19035,Raza Homes LLC,,(267) 282-3740,http://razahomes.com/,4.4,31,12594118896859944956,,NO,,//facebook.com/razahomesllc,https://www.instagram.com/razahomes/,,,,,success
architects,07723,Robert W Adler & Associates,"West Long Branch, NJ",(732) 571-1010,http://www.rwadlerassociates.com/,5.0,3,7424389131527606450,,NO,,http://www.facebook.com/Robert-W-Adler-Associates-Architects-185839398830372/,,,,,,success
interior designers,11962,Ds Interiors,"East Hampton, NY",,http://dsinteriorsdesign.com/,,,757948161138186728,,NO,donna@dsinteriorsdesign.com,,,,,,,success
property developers,19035,The Stawasz Group,"Philadelphia, PA",(215) 760-6291,http://www.thestawaszgroup.com/,5.0,53,7585147379103504330,,NO,info@tsg.homes,https://www.facebook.com/thestawaszgroup,https://www.instagram.com/ryan.stawasz/,https://www.linkedin.com/in/ryanstawasz/,https://www.youtube.com/@thestawaszgroup/shorts,,,success
home builders,08202,"J.W. Hand & Son, INC.","Cape May Court House, NJ",(609) 517-2744,http://www.jwhandandsonbuilders.com/,5.0,2,15023285100823733180,,NO,"-465-5469handjw12@yahoo.com, States609-465-5469info@jwhandandsonbuilders.com",,,,,,,success
general contractors,07711,Infinite Roofing & Chimneys LLC,,(908) 267-8311,https://infiniteroofingandchimney.com/,5.0,15,17654303694698631966,,NO,"infiniteconstructionnj@gmail.com, info@infiniteroofingandchimney.com",https://www.facebook.com/InfiniteConstructionNJ,https://www.instagram.com/infiniteconstructionnj?fbclid=IwY2xjawGxQA9leHRuA2FlbQIxMAABHcRx7WeJOnPAdDAGKeoapkLFneesnOytZEfLvqjjzatzf4djCJ-Z5Ivs3g_aem_Ygw11DgxElRnRYvH7tiLjQ,,,,,success
architects,19035,Ballinger,"Philadelphia, PA",(215) 446-0900,http://www.ballinger.com/,4.7,15,18038813046095855230,,NO,,,,,,,,success
architects,11962,Davis Landscape Design LLC,"Wainscott, NY",(631) 907-2867,http://www.davislandscapedesign.com/,4.5,8,12917335401749430449,,NO,,,,,,,,success
home builders,11568,Solid Rock Homes NY LLC,,(516) 202-7033,https://remodelerwestbury-ny.com/,5.0,1,16494292341122242097,,NO,,,,,,,,error
kitchen contractors,11976,Royal Kitchen & Bath,"Brentwood, NY",(631) 236-5405,https://royalknb.com/,4.9,129,3384410743281278910,,NO,,,https://instagram.com/royalkitchenbath,,,,,success
home builders,08202,Avalon Construction & Property Management,"Avalon, NJ",(609) 741-6996,http://avaloncpm.com/,5.0,46,16239266744402583127,,NO,"Jake@avaloncpm.com, Jake@avaloncpm.comEmail",https://www.facebook.com/avalonpropertymgmt,https://www.instagram.com/avalonconstructionmanagement/,,,,,success
remodeling contractors,08247,"Outline General Contractors, Inc.",10362 San Pablo Ave,(510) 253-0420,http://www.outlinegci.com/,5.0,14,,,NO,info@outlinegci.com,,,,,,,success
